Date,High
2023-01-22 00:00:00+00:00,18610.654296875
2023-01-23 00:00:00+00:00,18672.140625
2023-01-24 00:00:00+00:00,18674.376953125
2023-01-25 00:00:00+00:00,19128.052734375
2023-01-26 00:00:00+00:00,18736.03125
2023-01-27 00:00:00+00:00,18890.818359375
2023-01-28 00:00:00+00:00,18710.83984375
2023-01-29 00:00:00+00:00,19319.83203125
2023-01-30 00:00:00+00:00,19188.58203125
2023-01-31 00:00:00+00:00,18857.556640625
2023-02-01 00:00:00+00:00,19204.837890625
2023-02-02 00:00:00+00:00,19498.61328125
2023-02-03 00:00:00+00:00,19616.716796875
2023-02-04 00:00:00+00:00,19552.57421875
2023-02-05 00:00:00+00:00,19431.28515625
2023-02-06 00:00:00+00:00,19231.7734375
2023-02-07 00:00:00+00:00,19317.08203125
2023-02-08 00:00:00+00:00,19394.892578125
2023-02-09 00:00:00+00:00,19060.849609375
2023-02-10 00:00:00+00:00,18141.65234375
2023-02-11 00:00:00+00:00,18146.052734375
2023-02-12 00:00:00+00:00,18286.623046875
2023-02-13 00:00:00+00:00,18155.66796875
2023-02-14 00:00:00+00:00,18251.662109375
2023-02-15 00:00:00+00:00,20194.12890625
2023-02-16 00:00:00+00:00,20926.9921875
2023-02-17 00:00:00+00:00,20691.490234375
2023-02-18 00:00:00+00:00,20590.201171875
2023-02-19 00:00:00+00:00,20834.48828125
2023-02-20 00:00:00+00:00,20789.173828125
2023-02-21 00:00:00+00:00,20899.8359375
2023-02-22 00:00:00+00:00,20203.826171875
2023-02-23 00:00:00+00:00,20372.71875
2023-02-24 00:00:00+00:00,20048.8828125
2023-02-25 00:00:00+00:00,19430.892578125
2023-02-26 00:00:00+00:00,19777.890625
2023-02-27 00:00:00+00:00,19833.732421875
2023-02-28 00:00:00+00:00,19462.28125
2023-03-01 00:00:00+00:00,19769.080078125
2023-03-02 00:00:00+00:00,19725.34765625
2023-03-03 00:00:00+00:00,19650.0078125
2023-03-04 00:00:00+00:00,18616.685546875
2023-03-05 00:00:00+00:00,18789.9375
2023-03-06 00:00:00+00:00,18771.3203125
2023-03-07 00:00:00+00:00,18719.248046875
2023-03-08 00:00:00+00:00,18831.580078125
2023-03-09 00:00:00+00:00,18399.552734375
2023-03-10 00:00:00+00:00,18399.705078125
2023-03-11 00:00:00+00:00,17084.267578125
2023-03-12 00:00:00+00:00,17278.15234375
2023-03-13 00:00:00+00:00,18371.423828125
2023-03-14 00:00:00+00:00,20165.615234375
2023-03-15 00:00:00+00:00,21756.46484375
2023-03-16 00:00:00+00:00,20887.6953125
2023-03-17 00:00:00+00:00,20780.912109375
2023-03-18 00:00:00+00:00,22810.54296875
2023-03-19 00:00:00+00:00,22759.763671875
2023-03-20 00:00:00+00:00,23302.375
2023-03-21 00:00:00+00:00,23369.998046875
2023-03-22 00:00:00+00:00,23321.86328125
2023-03-23 00:00:00+00:00,23418.12109375
2023-03-24 00:00:00+00:00,23322.341796875
2023-03-25 00:00:00+00:00,23118.322265625
2023-03-26 00:00:00+00:00,22729.87890625
2023-03-27 00:00:00+00:00,23045.833984375
2023-03-28 00:00:00+00:00,22913.685546875
2023-03-29 00:00:00+00:00,22249.443359375
2023-03-30 00:00:00+00:00,23247.970703125
2023-03-31 00:00:00+00:00,23696.794921875
2023-04-01 00:00:00+00:00,23144.845703125
2023-04-02 00:00:00+00:00,23331.287109375
2023-04-03 00:00:00+00:00,23101.640625
2023-04-04 00:00:00+00:00,23054.462890625
2023-04-05 00:00:00+00:00,22755.09765625
2023-04-06 00:00:00+00:00,22994.78125
2023-04-07 00:00:00+00:00,22610.646484375
2023-04-08 00:00:00+00:00,22602.537109375
2023-04-09 00:00:00+00:00,22671.16796875
2023-04-10 00:00:00+00:00,22964.6484375
2023-04-11 00:00:00+00:00,24035.216796875
2023-04-12 00:00:00+00:00,24559.4765625
2023-04-13 00:00:00+00:00,24520.1640625
2023-04-14 00:00:00+00:00,24373.728515625
2023-04-15 00:00:00+00:00,24741.669921875
2023-04-16 00:00:00+00:00,24633.146484375
2023-04-17 00:00:00+00:00,24611.783203125
2023-04-18 00:00:00+00:00,24450.9765625
2023-04-19 00:00:00+00:00,24624.330078125
2023-04-20 00:00:00+00:00,24465.845703125
2023-04-21 00:00:00+00:00,23363.265625
2023-04-22 00:00:00+00:00,22792.666015625
2023-04-23 00:00:00+00:00,22414.275390625
2023-04-24 00:00:00+00:00,22372.5390625
2023-04-25 00:00:00+00:00,22481.859375
2023-04-26 00:00:00+00:00,22860.365234375
2023-04-27 00:00:00+00:00,24168.09765625
2023-04-28 00:00:00+00:00,23921.701171875
2023-04-29 00:00:00+00:00,23664.47265625
2023-04-30 00:00:00+00:00,23432.609375
2023-05-01 00:00:00+00:00,23819.650390625
2023-05-02 00:00:00+00:00,23353.990234375
2023-05-03 00:00:00+00:00,23156.361328125
2023-05-04 00:00:00+00:00,23280.875
2023-05-05 00:00:00+00:00,23362.787109375
2023-05-06 00:00:00+00:00,23464.337890625
2023-05-07 00:00:00+00:00,23593.744140625
2023-05-08 00:00:00+00:00,23069.486328125
2023-05-09 00:00:00+00:00,22683.826171875
2023-05-10 00:00:00+00:00,22064.958984375
2023-05-11 00:00:00+00:00,22353.201171875
2023-05-12 00:00:00+00:00,21872.517578125
2023-05-13 00:00:00+00:00,21617.677734375
2023-05-14 00:00:00+00:00,21714.72265625
2023-05-15 00:00:00+00:00,21791.373046875
2023-05-16 00:00:00+00:00,22056.919921875
2023-05-17 00:00:00+00:00,21791.177734375
2023-05-18 00:00:00+00:00,21990.896484375
2023-05-19 00:00:00+00:00,22003.599609375
2023-05-20 00:00:00+00:00,21748.416015625
2023-05-21 00:00:00+00:00,21817.513671875
2023-05-22 00:00:00+00:00,21906.501953125
2023-05-23 00:00:00+00:00,21735.439453125
2023-05-24 00:00:00+00:00,22080.119140625
2023-05-25 00:00:00+00:00,21926.640625
2023-05-26 00:00:00+00:00,21589.89453125
2023-05-27 00:00:00+00:00,21809.986328125
2023-05-28 00:00:00+00:00,21779.431640625
2023-05-29 00:00:00+00:00,22833.591796875
2023-05-30 00:00:00+00:00,23033.818359375
2023-05-31 00:00:00+00:00,22571.712890625
2023-06-01 00:00:00+00:00,22411.904296875
2023-06-02 00:00:00+00:00,21970.927734375
2023-06-03 00:00:00+00:00,21929.041015625
2023-06-04 00:00:00+00:00,21940.537109375
2023-06-05 00:00:00+00:00,22024.41796875
2023-06-06 00:00:00+00:00,21830.546875
2023-06-07 00:00:00+00:00,21983.80078125
2023-06-08 00:00:00+00:00,21974.9921875
2023-06-09 00:00:00+00:00,21355.15234375
2023-06-10 00:00:00+00:00,21285.296875
2023-06-11 00:00:00+00:00,21115.05078125
2023-06-12 00:00:00+00:00,20845.177734375
2023-06-13 00:00:00+00:00,20724.03515625
2023-06-14 00:00:00+00:00,20972.654296875
2023-06-15 00:00:00+00:00,20642.52734375
2023-06-16 00:00:00+00:00,20131.4453125
2023-06-17 00:00:00+00:00,20618.9140625
2023-06-18 00:00:00+00:00,20874.453125
2023-06-19 00:00:00+00:00,20796.630859375
2023-06-20 00:00:00+00:00,21110.84375
2023-06-21 00:00:00+00:00,22240.96875
2023-06-22 00:00:00+00:00,24106.98046875
2023-06-23 00:00:00+00:00,23884.923828125
2023-06-24 00:00:00+00:00,24729.80859375
2023-06-25 00:00:00+00:00,24228.541015625
2023-06-26 00:00:00+00:00,24415.046875
2023-06-27 00:00:00+00:00,24096.095703125
2023-06-28 00:00:00+00:00,24325.939453125
2023-06-29 00:00:00+00:00,24089.087890625
2023-06-30 00:00:00+00:00,24413.080078125
2023-07-01 00:00:00+00:00,24763.125
2023-07-02 00:00:00+00:00,24114.6640625
2023-07-03 00:00:00+00:00,24226.3359375
2023-07-04 00:00:00+00:00,24724.453125
2023-07-05 00:00:00+00:00,24678.7734375
2023-07-06 00:00:00+00:00,24299.53125
2023-07-07 00:00:00+00:00,24749.75
2023-07-08 00:00:00+00:00,23715.009765625
2023-07-09 00:00:00+00:00,23657.0390625
2023-07-10 00:00:00+00:00,23700.263671875
2023-07-11 00:00:00+00:00,24125.138671875
2023-07-12 00:00:00+00:00,23873.3828125
2023-07-13 00:00:00+00:00,23967.564453125
2023-07-14 00:00:00+00:00,24216.4453125
2023-07-15 00:00:00+00:00,24044.896484375
2023-07-16 00:00:00+00:00,23228.017578125
2023-07-17 00:00:00+00:00,23250.765625
2023-07-18 00:00:00+00:00,23172.458984375
2023-07-19 00:00:00+00:00,23111.81640625
2023-07-20 00:00:00+00:00,23189.662109375
2023-07-21 00:00:00+00:00,23362.162109375
2023-07-22 00:00:00+00:00,23363.466796875
2023-07-23 00:00:00+00:00,23331.6171875
2023-07-24 00:00:00+00:00,23589.837890625
2023-07-25 00:00:00+00:00,23395.869140625
2023-07-26 00:00:00+00:00,22777.23046875
2023-07-27 00:00:00+00:00,22928.193359375
2023-07-28 00:00:00+00:00,22788.017578125
2023-07-29 00:00:00+00:00,22962.66015625
2023-07-30 00:00:00+00:00,22884.03125
2023-07-31 00:00:00+00:00,22920.09375
2023-08-01 00:00:00+00:00,22944.271484375
2023-08-02 00:00:00+00:00,23193.3359375
2023-08-03 00:00:00+00:00,23449.59375
2023-08-04 00:00:00+00:00,23141.095703125
2023-08-05 00:00:00+00:00,22927.587890625
2023-08-06 00:00:00+00:00,22829.05078125
2023-08-07 00:00:00+00:00,22862.259765625
2023-08-08 00:00:00+00:00,22879.671875
2023-08-09 00:00:00+00:00,23682.38671875
