Date,Open,High,Low,Close,Volume,Crypto
2022-07-09 00:00:00+00:00,18044.73046875,18186.248046875,17827.80859375,17949.384765625,24640373177,BTC-GBP
2022-07-10 00:00:00+00:00,17948.44921875,17948.44921875,17230.25,17359.10546875,23873505708,BTC-GBP
2022-07-11 00:00:00+00:00,17355.697265625,17355.697265625,16746.3359375,16782.896484375,20295434576,BTC-GBP
2022-07-12 00:00:00+00:00,16782.828125,16901.99609375,16255.91015625,16268.9970703125,21729882335,BTC-GBP
2022-07-13 00:00:00+00:00,16270.7294921875,17029.7109375,16020.3046875,17036.271484375,27850671520,BTC-GBP
2022-07-14 00:00:00+00:00,17035.759765625,17590.099609375,16733.271484375,17371.791015625,26314306555,BTC-GBP
2022-07-15 00:00:00+00:00,17374.5234375,17813.640625,17234.83203125,17575.984375,21852026360,BTC-GBP
2022-07-16 00:00:00+00:00,17574.109375,18128.23046875,17291.31640625,17875.345703125,20501048529,BTC-GBP
2022-07-17 00:00:00+00:00,17879.33203125,18221.478515625,17475.072265625,17476.052734375,19282969386,BTC-GBP
2022-07-18 00:00:00+00:00,17478.2109375,18879.662109375,17478.2109375,18817.98046875,33454118930,BTC-GBP
2022-07-19 00:00:00+00:00,18803.05078125,19722.650390625,18108.181640625,19484.56640625,40623852107,BTC-GBP
2022-07-20 00:00:00+00:00,19487.69921875,20203.109375,19151.06640625,19411.83203125,35873321805,BTC-GBP
2022-07-21 00:00:00+00:00,19413.05859375,19538.650390625,18807.779296875,19311.216796875,28036526955,BTC-GBP
2022-07-22 00:00:00+00:00,19310.484375,19678.8046875,18830.294921875,18922.0546875,26174815706,BTC-GBP
2022-07-23 00:00:00+00:00,18915.39453125,19140.5,18328.88671875,18714.21484375,20010663165,BTC-GBP
2022-07-24 00:00:00+00:00,18714.240234375,19146.46484375,18582.06640625,18863.8203125,19661729613,BTC-GBP
2022-07-25 00:00:00+00:00,18862.14453125,18899.966796875,17721.705078125,17721.751953125,29512798441,BTC-GBP
2022-07-26 00:00:00+00:00,17721.271484375,17721.271484375,17273.865234375,17647.708984375,23783697638,BTC-GBP
2022-07-27 00:00:00+00:00,17651.376953125,18881.45703125,17487.86328125,18854.0234375,26112943449,BTC-GBP
2022-07-28 00:00:00+00:00,18856.56640625,19801.638671875,18728.576171875,19587.609375,33034233954,BTC-GBP
2022-07-29 00:00:00+00:00,19588.69921875,19870.001953125,19412.70703125,19552.0546875,29476172015,BTC-GBP
2022-07-30 00:00:00+00:00,19545.63671875,20182.810546875,19367.96875,19430.14453125,23119679842,BTC-GBP
2022-07-31 00:00:00+00:00,19426.74609375,19812.431640625,19124.0390625,19178.634765625,19356718678,BTC-GBP
2022-08-01 00:00:00+00:00,19178.48828125,19096.69921875,18696.46875,19024.22265625,21092732915,BTC-GBP
2022-08-02 00:00:00+00:00,19019.51953125,19179.986328125,18591.74609375,18922.662109375,23378775080,BTC-GBP
2022-08-03 00:00:00+00:00,18925.287109375,19354.912109375,18718.6484375,18822.1640625,21657587691,BTC-GBP
2022-08-04 00:00:00+00:00,18823.5703125,19074.865234375,18480.27734375,18613.46484375,20660836340,BTC-GBP
2022-08-05 00:00:00+00:00,18610.072265625,19290.337890625,18610.02734375,19291.21484375,23923176139,BTC-GBP
2022-08-06 00:00:00+00:00,19292.962890625,19322.068359375,19019.494140625,19019.494140625,13235256032,BTC-GBP
2022-08-07 00:00:00+00:00,19021.337890625,19355.345703125,18964.224609375,19215.431640625,13171966539,BTC-GBP
2022-08-08 00:00:00+00:00,19218.447265625,19975.279296875,19219.685546875,19701.11328125,23644777433,BTC-GBP
2022-08-09 00:00:00+00:00,19702.763671875,19774.3359375,18976.099609375,19189.181640625,19513416467,BTC-GBP
2022-08-10 00:00:00+00:00,19188.005859375,19758.591796875,18870.28125,19611.921875,26892214708,BTC-GBP
2022-08-11 00:00:00+00:00,19612.498046875,20272.666015625,19596.619140625,19645.60546875,30444838282,BTC-GBP
2022-08-12 00:00:00+00:00,19645.337890625,20106.310546875,19493.634765625,20098.283203125,22456253070,BTC-GBP
2022-08-13 00:00:00+00:00,20097.763671875,20474.861328125,20051.58203125,20115.78515625,18932493340,BTC-GBP
2022-08-14 00:00:00+00:00,20119.89453125,20569.46484375,19936.396484375,20053.236328125,18960502647,BTC-GBP
